code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603890,春秋电子,,,1.52,30.12,0.38,3527.29,,,03-31
300633,开立医疗,,,,20.87,,7064.91,-45.63,,03-16
300629,新劲刚,0.56,36.59,,21.35,,2800.06,36.66,,03-09
300631,久吾高科,1.42,23.82,5.29,30.79,1.14,6840.47,23.83,,03-09
002857,三晖电气,0.46,-14.81,2.18,22.87,-0.58,2745.25,38.2,,03-08
603656,泰禾光电,1.04,38.67,3.29,36.81,0.94,5914.51,48.49,,03-07
001979,招商蛇口,0.51,0.0,,20.7,,278623.87,0.23,,03-06
603517,绝味食品,0.54,28.57,,27.17,0.53,19281.53,27.0,,02-27
300623,捷捷微电,0.95,7.95,4.71,20.61,0.91,6623.72,7.32,,02-22
002882,金龙羽,,,,14.21,0.69,7237.95,7.58,,02-17
603178,圣龙股份,0.3,-37.5,1.87,22.94,0.47,4264.79,8.31,,02-14
300722,新余国科,,,2.64,23.55,0.35,1775.28,,,02-03
603238,诺邦股份,0.44,15.79,6.4,22.6,2.19,3947.28,14.7,,01-26
300612,宣亚国际,0.28,47.37,2.01,15.02,0.56,1253.43,50.12,,01-25
300611,美力科技,0.54,63.64,2.84,20.78,0.48,2739.87,63.98,,01-25
300615,欣天科技,0.87,27.94,2.12,50.23,0.76,5225.6,29.98,,01-25
603345,安井食品,0.64,10.34,3.51,20.15,0.89,10406.37,10.12,,01-24
603955,大千生态,0.88,,7.31,12.74,-2.43,4567.82,,,01-23
603817,海峡环保,,,1.77,15.8,0.47,7983.95,36.93,,01-23
603330,上海天洋,0.73,,4.89,16.19,0.49,3294.9,9.86,,01-23
300735,光弘科技,,,,9.79,,3749.9,,,01-20
603078,江化微,,,5.21,7.69,1.69,1928.72,-23.64,,01-20
002875,安奈儿,,,,36.8,0.27,5611.51,42.28,,01-20
603180,金牌厨柜,0.59,34.09,2.49,22.77,2.0,3075.99,33.87,,01-20
300608,思特奇,0.9,164.71,4.61,21.57,1.91,3921.67,162.63,,01-20
300607,拓斯达,0.66,26.92,19.23,50.95,1.73,3237.6,28.95,,01-19
603040,新坐标,0.82,34.43,3.75,26.91,0.65,3703.93,35.88,,01-19
300635,达安股份,0.76,28.81,2.94,28.4,-0.44,4287.47,32.5,,01-18
300609,汇纳科技,0.35,29.63,1.84,21.13,0.09,2634.83,41.26,,01-18
300695,兆丰股份,1.04,48.57,7.14,15.64,1.79,5175.26,48.25,,01-18
300610,晨化股份,0.47,-26.56,3.46,14.95,0.5,3494.91,-14.82,,01-17
603615,茶花股份,0.56,3.89,,19.61,0.65,10105.75,5.12,,01-17
002848,高斯贝尔,0.46,-11.36,,13.03,0.3,5772.9,-11.34,,01-16
603208,江山欧派,0.86,32.31,3.96,23.69,1.4,5230.18,32.34,,01-16
603839,安正时尚,1.18,0.85,,32.1,1.67,25196.19,1.63,,01-16
603677,奇精机械,1.26,,4.3,34.65,0.61,6324.82,98.92,,01-16
603385,惠达卫浴,0.45,-19.64,,5.42,0.85,9357.28,-18.11,,01-13
603920,世运电路,0.41,20.59,1.97,22.4,0.64,12749.53,21.03,,01-13
300733,西菱动力,0.35,,2.8,13.39,0.31,4218.24,,,01-13
300732,设研院,2.54,,26.49,34.52,1.98,11431.83,,,01-13
603787,新日股份,0.48,-42.17,,17.04,0.45,7316.81,-42.3,,01-13
603133,碳元科技,0.64,,,40.04,0.5,10046.37,67.11,,01-13
002774,快意电梯,0.34,-41.82,,27.68,1.15,8070.24,25.8,,01-13
603626,科森科技,,,1.66,34.08,,4263.5,291.73,,01-13
300601,康泰生物,,,1.04,0.41,0.07,151.06,-86.8,,01-12
300578,会畅通讯,0.69,1.47,2.26,33.14,0.68,3710.04,1.44,,01-12
300605,恒锋信息,,,,40.55,,2640.63,145.25,,01-12
603637,镇海股份,0.59,-16.9,3.44,18.36,0.99,4556.52,-16.54,,01-12
002862,实丰文化,,,,27.61,-0.56,3239.09,1.85,,01-11
300630,普利制药,0.27,50.0,2.17,13.14,0.5,2479.02,61.76,,01-11
300636,同和药业,,,,27.16,,1688.36,110.3,,01-11
603177,德创环保,1.57,137.88,4.47,96.61,1.22,14717.07,421.3,,01-10
603429,集友股份,0.69,,1.84,46.34,1.13,3526.97,,,01-10
300606,金太阳,0.47,33.49,2.14,25.27,0.59,2856.9,36.09,,01-10
002847,盐津铺子,0.81,50.0,2.6,29.84,0.92,4591.15,69.31,,01-10
002846,英联股份,0.46,,1.94,27.21,0.47,4170.62,23.98,,01-10
603360,百傲化学,0.49,8.89,2.77,19.36,0.54,4892.05,9.17,,01-09
603881,数据港,0.2,81.82,,51.66,0.15,3329.14,84.15,,01-09
300598,诚迈科技,0.5,,2.74,20.09,0.96,3004.84,32.89,,01-09
300603,立昂技术,0.48,54.84,,21.28,0.34,3651.09,50.95,,01-09
300602,飞荣达,,,3.58,20.56,0.78,5036.6,33.08,,01-09
002916,深南电路,0.8,,5.52,12.05,2.61,16839.77,,,01-06
300600,瑞特股份,0.56,-1.75,3.22,19.31,0.73,4211.65,-1.58,,01-06
603089,正裕工业,0.75,7.14,,20.48,1.28,5973.49,7.08,,01-06
300627,华测导航,-0.4,-197.56,1.33,-42.05,0.56,-1491.97,-340.55,,01-05
603358,华达科技,1.62,,5.57,31.95,2.99,19438.42,65.78,,01-05
002845,同兴达,1.54,152.46,12.94,92.75,5.87,9971.88,154.08,,01-05
300620,光库科技,,,1.11,89.46,0.64,2044.44,16.84,,01-05
300595,欧普康视,0.49,,2.86,21.73,1.05,2480.0,-17.56,,01-04
603966,法兰泰克,0.51,10.87,3.11,17.83,0.53,6106.78,22.9,,01-04
300597,吉大通信,0.27,-34.15,3.8,21.17,0.7,4291.16,-35.64,,01-04
300599,雄塑科技,0.42,,2.08,21.22,0.52,8720.98,14.19,,01-03
002860,星帅尔,0.64,45.45,3.06,22.24,1.06,3602.4,47.9,,12-30
002864,盘龙药业,0.51,,,16.86,0.39,3289.44,,,12-30
603038,华立股份,1.36,15.25,6.26,24.42,0.93,6809.53,15.16,,12-30
603638,艾迪精密,0.39,16.15,2.97,15.69,0.21,5163.6,23.88,,12-30
300718,长盛轴承,1.03,,4.43,25.7,1.06,7722.78,,,12-30
002841,视源股份,0.45,-71.52,0.95,62.22,1.09,16388.56,57.36,,12-29
603039,泛微网络,0.72,9.09,2.73,30.48,1.32,3604.76,8.43,,12-29
002843,泰嘉股份,0.52,4.0,3.26,17.21,0.61,5380.5,7.84,,12-29
603337,杰克股份,1.1,233.33,3.31,38.79,1.72,17096.51,239.17,,12-29
300596,利安隆,0.44,,3.27,14.61,0.2,4003.45,13.74,,12-28
