,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600829,人民同泰,15.76,3.17,11.6035,254.196,0.4383,8008.880999999999,13.811
1,300320,海达股份,15.41,10.86,28.9023,140.2801,0.2656,1291.6529,2.4461
2,002793,东音股份,15.36,13.99,30.4599,115.8517,0.5792,828.044,4.1402
3,603707,健友股份,15.31,28.23,46.3763,314.2224,0.7419,1112.726,2.6274
4,601128,常熟银行,12.12,25.6,32.6148,1267.228,0.5701,4948.48,2.2263
5,603668,天马科技,11.15,7.86,19.5121,91.5147,0.3083,1162.9063,3.9181
6,300536,农尚环境,9.79,12.21,27.4749,51.8904,0.3096,424.655,2.5338
7,603618,杭电股份,5.04,2.41,16.0019,100.34200000000001,0.146,4160.9584,6.0577
8,002189,利达光电,3.92,2.38,16.1749,21.7551,0.1091,912.8660000000001,4.5817
9,600900,长江电力,,,,,,,
10,603225,新凤鸣,,,,,,,
11,603976,正川股份,,,,,,,
12,000100,TCL集团,,,,,,,
13,000413,东旭光电,,,,,,,
14,000595,*ST宝实,,,,,,,
15,000617,中油资本,,,,,,,
16,000661,长春高新,,,,,,,
17,000735,罗牛山,,,,,,,
18,000793,华闻传媒,,,,,,,
19,000848,承德露露,,,,,,,
20,000931,中关村,,,,,,,
21,000999,华润三九,,,,,,,
22,002039,黔源电力,,,,,,,
23,002073,软控股份,,,,,,,
24,002150,通润装备,,,,,,,
25,002192,融捷股份,,,,,,,
26,002223,鱼跃医疗,,,,,,,
27,002267,陕天然气,,,,,,,
28,002287,奇正藏药,,,,,,,
29,002369,卓翼科技,,,,,,,
30,002462,嘉事堂,,,,,,,
31,002488,金固股份,,,,,,,
32,002533,金杯电工,,,,,,,
33,002588,史丹利,,,,,,,
34,002602,世纪华通,,,,,,,
35,002683,宏大爆破,,,,,,,
36,002763,汇洁股份,,,,,,,
37,002851,麦格米特,,,,,,,
38,300003,乐普医疗,,,,,,,
39,300070,碧水源,,,,,,,
40,300108,吉药控股,,,,,,,
41,300136,信维通信,,,,,,,
42,300197,铁汉生态,,,,,,,
43,300237,美晨生态,,,,,,,
44,300355,蒙草生态,,,,,,,
45,300422,博世科,,,,,,,
46,300467,迅游科技,,,,,,,
47,300691,联合光电,,,,,,,
48,603003,龙宇燃油,,,,,,,
49,603496,恒为科技,,,,,,,
50,000058,深赛格,,,,,,,
51,000410,*ST沈机,,,,,,,
52,000576,广东甘化,,,,,,,
53,000603,盛达矿业,,,,,,,
54,000637,茂化实华,,,,,,,
55,000731,四川美丰,,,,,,,
56,000790,泰合健康,,,,,,,
57,000803,*ST金宇,,,,,,,
58,000876,新希望,,,,,,,
59,000976,华铁股份,,,,,,,
60,000931,中关村,,,,,,,
61,000999,华润三九,,,,,,,
62,002039,黔源电力,,,,,,,
63,002073,软控股份,,,,,,,
64,002150,通润装备,,,,,,,
65,002192,融捷股份,,,,,,,
66,002223,鱼跃医疗,,,,,,,
67,002267,陕天然气,,,,,,,
68,002287,奇正藏药,,,,,,,
69,002369,卓翼科技,,,,,,,
70,002462,嘉事堂,,,,,,,
71,002488,金固股份,,,,,,,
72,002533,金杯电工,,,,,,,
73,002588,史丹利,,,,,,,
74,002602,世纪华通,,,,,,,
75,002683,宏大爆破,,,,,,,
76,002763,汇洁股份,,,,,,,
77,002851,麦格米特,,,,,,,
78,300003,乐普医疗,,,,,,,
79,300070,碧水源,,,,,,,
80,300108,吉药控股,,,,,,,
81,300136,信维通信,,,,,,,
82,300197,铁汉生态,,,,,,,
83,300237,美晨生态,,,,,,,
84,300355,蒙草生态,,,,,,,
85,300422,博世科,,,,,,,
86,300467,迅游科技,,,,,,,
87,300691,联合光电,,,,,,,
88,603003,龙宇燃油,,,,,,,
89,603496,恒为科技,,,,,,,
90,000058,深赛格,,,,,,,
91,000410,*ST沈机,,,,,,,
92,000576,广东甘化,,,,,,,
93,000603,盛达矿业,,,,,,,
94,000637,茂化实华,,,,,,,
95,000731,四川美丰,,,,,,,
96,000790,泰合健康,,,,,,,
97,000803,*ST金宇,,,,,,,
98,000876,新希望,,,,,,,
99,000976,华铁股份,,,,,,,
100,002035,华帝股份,,,,,,,
101,002062,宏润建设,,,,,,,
102,002139,拓邦股份,,,,,,,
103,002206,海利得,,,,,,,
104,002261,拓维信息,,,,,,,
105,002286,保龄宝,,,,,,,
106,002348,高乐股份,,,,,,,
107,002431,棕榈股份,,,,,,,
108,002484,江海股份,,,,,,,
109,002527,新时达,,,,,,,
110,002582,好想你,,,,,,,
111,002600,江粉磁材,,,,,,,
112,002680,长生生物,,,,,,,
113,002718,友邦吊顶,,,,,,,
114,002845,同兴达,,,,,,,
115,002897,意华股份,,,,,,,
116,300064,豫金刚石,,,,,,,
117,300098,高新兴,,,,,,,
118,300133,华策影视,,,,,,,
119,300166,东方国信,,,,,,,
120,300228,富瑞特装,,,,,,,
121,300286,安科瑞,,,,,,,
122,300334,津膜科技,,,,,,,
123,300421,力星股份,,,,,,,
124,300463,迈克生物,,,,,,,
125,300522,世名科技,,,,,,,
126,300650,太龙照明,,,,,,,
127,600479,千金药业,,,,,,,
128,601777,力帆股份,,,,,,,
129,603458,勘设股份,,,,,,,
130,603699,纽威股份,,,,,,,
131,000030,富奥股份,,,,,,,
132,000158,常山北明,,,,,,,
133,000571,新大洲A,,,,,,,
134,000601,韶能股份,,,,,,,
135,000636,风华高科,,,,,,,
136,000713,丰乐种业,,,,,,,
137,000768,中航飞机,,,,,,,
138,000802,北京文化,,,,,,,
139,000862,银星能源,,,,,,,
140,000975,银泰资源,,,,,,,
141,002008,大族激光,,,,,,,
142,002056,横店东磁,,,,,,,
143,002136,安纳达,,,,,,,
144,002182,云海金属,,,,,,,
145,002205,国统股份,,,,,,,
146,002249,大洋电机,,,,,,,
147,002274,华昌化工,,,,,,,
148,002313,日海通讯,,,,,,,
149,002406,远东传动,,,,,,,
150,002483,润邦股份,,,,,,,
151,002497,雅化集团,,,,,,,
152,002566,益盛药业,,,,,,,
153,002599,盛通股份,,,,,,,
154,002639,雪人股份,,,,,,,
155,002692,睿康股份,,,,,,,
156,002829,星网宇达,,,,,,,
157,002891,中宠股份,,,,,,,
158,300014,亿纬锂能,,,,,,,
159,300084,海默科技,,,,,,,
160,300117,嘉寓股份,,,,,,,
161,300155,安居宝,,,,,,,
162,300223,北京君正,,,,,,,
163,300282,汇冠股份,,,,,,,
164,300333,兆日科技,,,,,,,
165,300378,鼎捷软件,,,,,,,
166,300462,华铭智能,,,,,,,
167,300489,中飞股份,,,,,,,
168,300602,飞荣达,,,,,,,
