code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300530,N达志,化工原料,广东,26.34,1750.0,7000.0,29978.77,21553.43,1395.2,4039.11,0.58,0.327,5.27,3.27,20160809
300531,N优博讯,软件服务,深圳,30.24,2000.0,8000.0,36314.19,34644.09,591.16,2062.04,0.26,0.318,4.86,3.96,20160809
600977,N中影,影视音像,北京,20.71,46700.0,186700.0,1367655.75,0.0,0.0,0.0,0.0,0.155,3.59,3.58,20160809
000932,华菱钢铁,普钢,湖南,0.0,301511.66,301565.0,7425191.0,2552167.5,4285304.5,703337.13,2.33,-0.27,2.14,2.24,19990803
601058,赛轮金宇,汽车配件,山东,24.41,221651.92,229393.7,1307795.13,558649.69,570251.19,228893.16,1.0,0.040999999999999995,1.91,2.12,20110630
601811,新华文轩,出版业,四川,20.11,9871.0,123384.1,1056788.88,465083.19,139101.94,207300.25,1.68,0.14,6.11,1.85,20160808
002137,麦达数字,元器件,深圳,125.89,25527.83,57653.21,181901.98,92386.06,10059.5,94264.93,1.64,0.032,2.57,6.27,20070613
002806,华锋股份,元器件,广东,69.22,2000.0,8000.0,46273.96,25404.02,14690.7,321.58,0.04,0.16699999999999998,4.0,5.8,20160726
000023,深天地Ａ,其他建材,深圳,234.61,13875.62,13875.62,150067.17,134755.25,10733.92,10253.23,0.74,0.055999999999999994,2.78,9.46,19930429
000711,京蓝科技,软件服务,黑龙江,0.0,16089.83,16089.83,29697.39,27433.73,168.0,1507.57,0.09,-0.037000000000000005,1.77,15.07,19970411
002054,德美化工,化工原料,广东,0.0,31481.14,41923.07,295971.34,129756.07,65574.02,15610.79,0.37,-0.013999999999999999,4.15,2.62,20060725
000929,兰州黄河,啤酒,甘肃,0.0,18563.25,18576.59,161851.38,121756.82,28582.48,19266.24,1.04,-0.172,3.89,4.38,19990623
603618,杭电股份,电气设备,浙江,74.62,26325.0,64005.0,329790.88,271357.94,33333.76,42897.09,0.67,0.111,2.42,6.86,20150217
300529,健帆生物,医疗保健,广东,51.34,4200.0,41200.0,77533.78,48296.48,25537.32,12.59,0.0,0.244,1.8,13.95,20160802
603322,超讯通信,通信设备,广东,917.83,2000.0,8000.0,64296.28,60751.57,2047.6,6455.45,0.81,0.01,4.0,9.26,20160728
300525,博思软件,软件服务,福建,310.07,1710.0,6813.89,26181.35,11728.91,12041.23,4107.85,0.6,0.07,4.54,9.61,20160726
002647,宏磊股份,电气设备,浙江,0.0,12302.46,21958.3,223416.95,176411.63,25058.13,50899.32,2.32,-0.11900000000000001,4.43,6.08,20111228
002802,洪汇新材,化工原料,江苏,163.3,2700.0,10800.0,35361.96,19090.03,11060.71,3163.88,0.29,0.113,3.62,20.36,20160629
300499,高澜股份,专用机械,广东,0.0,1667.0,6667.0,91546.05,73833.9,10977.58,26870.11,4.03,-0.06,8.21,11.5,20160202
300506,名家汇,建筑施工,深圳,212.5,3000.0,12000.0,72829.25,59545.31,2277.16,20594.49,1.72,0.23,4.29,19.8,20160324
002113,天润数娱,互联网,湖南,3187.1,11836.33,18862.0,11232.38,1877.81,87.97,13746.0,0.73,0.004,0.77,69.3,20070208
000593,大通燃气,供气供热,四川,543.57,22317.83,35863.1,77981.38,26931.53,37489.35,27011.4,0.75,0.006,2.32,5.31,19960312
