code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603920,N世运,元器件,广东,44.01,0.89,4.02,151385.02,98367.03,44256.93,14171.2,0.35,0.12300000000000001,3.08,7.05,20170426,42448.6,1.06,0.0,0.0,25.78,12.6,78874
002866,N传艺,电脑设备,江苏,31.28,0.36,1.44,52496.66,37728.05,12225.88,8954.23,0.62,0.154,3.77,5.12,20170426,19652.64,1.37,0.0,0.0,32.91,18.7,65532
300514,N友讯达,互联网,深圳,34.67,0.25,1.0,46100.73,44065.12,1356.1,5663.24,0.57,0.08800000000000001,3.21,3.79,20170426,9681.07,0.97,0.0,0.0,44.45,10.46,47034
300028,金亚科技,通信设备,四川,262.08,2.48,3.44,56705.48,17980.76,3807.33,27894.21,0.81,0.025,0.99,8.94,20091030,-28151.95,-0.82,-20.21,109.23,34.13,6.07,64808
600008,首创股份,环境保护,北京,56.97,48.21,48.21,3963511.5,1331743.5,480424.16,60758.82,0.13,0.127,2.02,3.57,20000427,193999.42,0.4,12.04,13.92,32.94,7.72,161273
601992,金隅股份,水泥,北京,31.76,81.45,106.78,20839712.0,11947873.0,4577328.5,586519.56,0.55,0.252,4.14,1.93,20110301,2098012.0,1.96,16.65,33.17,23.45,5.63,99438
000600,建投能源,火力发电,河北,26.59,10.9,17.92,2924370.75,488059.09,1605096.5,440347.16,2.46,0.126,6.39,2.09,19960606,465359.59,2.6,10.2,-65.56,19.35,8.11,56026
002339,积成电子,电气设备,山东,64.61,2.96,3.79,272785.44,205862.81,25318.07,45904.28,1.21,0.21,4.04,4.48,20100122,62622.01,1.65,22.73,10.19,43.0,8.82,21940
600388,龙净环保,环境保护,福建,26.23,10.69,10.69,1424639.38,1250533.5,93133.07,47787.46,0.45,0.402,3.54,3.97,20001229,202158.31,1.89,9.79,10.25,24.29,8.71,146160
002579,中京电子,元器件,广东,255.5,3.5,3.78,165349.69,83358.75,66500.25,39666.28,1.05,0.011000000000000001,2.59,4.33,20110506,23137.68,0.61,53.41,-95.32,17.05,1.68,30338
