date,open,close,high,low,volume,code
2017-04-17,9.872,9.912,9.932,9.742,63320.0,002178
2017-04-18,9.912,10.172,10.212,9.872,115050.0,002178
2017-04-19,10.182,10.132,10.212,10.022,67003.0,002178
2017-04-20,10.142,10.202,10.351,10.032,78318.0,002178
2017-04-21,10.162,9.972,10.232,9.972,48336.0,002178
2017-04-24,9.842,9.842,9.952,9.573,93243.0,002178
2017-04-25,9.842,9.892,9.942,9.792,48121.0,002178
2017-04-26,9.892,9.902,9.932,9.822,40489.0,002178
2017-04-27,9.942,9.932,9.942,9.802,49722.0,002178
2017-04-28,9.942,9.922,9.952,9.812,48212.0,002178
2017-05-02,9.902,10.132,10.172,9.872,84270.0,002178
2017-05-03,10.132,10.142,10.192,10.032,32468.0,002178
2017-05-04,10.132,10.052,10.132,10.002,33892.0,002178
2017-05-05,10.102,10.461,10.89,10.032,161916.0,002178
2017-05-08,10.391,10.351,10.631,10.262,126042.0,002178
2017-05-09,10.272,10.172,10.381,10.042,90488.0,002178
2017-05-10,10.182,9.912,10.242,9.902,74461.0,002178
2017-05-11,9.902,9.982,9.992,9.613,107246.0,002178
2017-05-12,9.932,9.872,10.032,9.792,49700.0,002178
2017-05-15,9.882,9.892,9.982,9.842,31263.0,002178
2017-05-16,9.892,10.062,10.072,9.862,42982.0,002178
2017-05-17,10.002,10.022,10.152,10.002,39209.0,002178
2017-05-18,9.922,9.882,10.032,9.882,42936.0,002178
2017-05-19,9.932,10.032,10.042,9.842,41274.0,002178
2017-05-22,10.032,9.972,10.122,9.962,62192.0,002178
2017-05-23,9.932,9.922,10.012,9.882,50418.0,002178
2017-05-24,9.932,10.022,10.022,9.792,31147.0,002178
2017-05-25,10.052,10.092,10.112,9.912,42759.0,002178
2017-05-26,10.112,10.152,10.301,10.092,59414.0,002178
2017-05-31,10.242,10.172,10.282,10.162,41082.0,002178
2017-06-01,10.182,10.262,10.321,10.172,78826.0,002178
2017-06-02,10.212,10.311,10.371,10.202,59223.0,002178
2017-06-05,10.311,10.471,10.531,10.291,72891.0,002178
