date,open,close,high,low,volume,code
2015-03-26,10.19,10.537,11.048,9.917,285514.0,300332
2015-03-27,10.492,10.874,10.944,10.264,142995.08,300332
2015-03-30,10.983,10.944,11.96,10.646,203535.0,300332
2015-03-31,11.107,11.484,11.603,10.716,174951.0,300332
2015-04-01,11.479,12.0,12.015,11.35,149582.0,300332
2015-04-02,11.901,12.57,12.793,11.702,156323.0,300332
2015-04-03,12.63,13.83,13.83,12.402,310925.0,300332
2015-04-07,14.192,14.33,14.945,13.77,266145.0,300332
2015-04-08,14.187,13.84,14.192,13.15,234597.0,300332
2015-04-17,12.496,12.605,14.132,12.461,369225.0,300332
2015-04-20,12.287,11.851,12.397,11.643,189633.0,300332
2015-04-21,11.841,12.808,12.952,11.742,169072.0,300332
2015-04-22,12.828,13.016,13.438,12.828,146675.0,300332
2015-04-23,12.892,12.808,13.388,12.585,162527.0,300332
2015-04-24,12.798,13.973,14.048,12.793,229728.0,300332
2015-04-27,14.132,14.554,14.871,13.606,149176.0,300332
2015-04-28,14.554,13.572,14.618,13.329,112984.0,300332
2015-04-29,13.24,13.884,14.192,13.24,64230.0,300332
2015-04-30,13.939,14.251,14.479,13.884,92141.0,300332
2015-05-04,14.256,15.154,15.635,13.686,129743.0,300332
2015-05-05,14.925,14.365,15.104,13.944,61593.0,300332
2015-05-06,14.555,15.028,15.804,14.455,124466.0,300332
2015-05-07,15.028,14.993,15.903,14.928,86505.0,300332
2015-05-08,15.202,16.272,16.272,15.202,94333.0,300332
2015-05-11,16.68,17.297,17.67,16.172,110400.0,300332
2015-05-12,17.491,16.993,18.257,16.904,117718.0,300332
2015-05-13,16.919,15.923,16.919,15.296,125393.0,300332
2015-05-14,15.804,16.172,16.58,15.5,97631.0,300332
2015-05-15,16.023,15.824,16.172,15.406,74417.0,300332
2015-05-18,15.824,17.162,17.406,15.679,141374.0,300332
2015-05-19,17.416,18.551,18.879,17.113,124310.0,300332
2015-05-20,18.551,19.093,20.153,18.551,86381.0,300332
2015-05-21,19.297,19.899,20.103,18.914,107486.0,300332
2015-05-22,20.203,19.496,20.715,18.859,156840.0,300332
2015-05-25,19.008,19.113,19.402,18.352,120300.0,300332
2015-05-26,19.302,18.909,19.899,18.849,131618.0,300332
2015-06-08,19.412,17.322,19.556,17.018,179740.0,300332
2015-06-09,17.341,17.317,18.252,16.968,97829.0,300332
2015-06-10,17.366,17.72,18.138,17.038,79765.0,300332
2015-06-11,17.789,18.287,18.287,17.516,98801.0,300332
2015-06-12,18.556,19.506,19.68,18.063,120266.0,300332
2015-06-15,19.765,18.277,19.879,18.262,114848.0,300332
2015-06-16,18.108,16.486,18.108,16.451,122523.0,300332
2015-06-17,16.486,17.043,17.267,15.033,112347.0,300332
2015-06-18,16.605,16.162,17.665,15.948,84933.0,300332
2015-06-19,15.864,14.545,16.162,14.545,59053.0,300332
2015-06-23,14.406,14.58,15.018,13.187,82483.0,300332
2015-06-24,14.754,14.933,15.356,14.276,59172.0,300332
2015-06-25,15.182,14.132,15.436,13.923,88277.0,300332
2015-06-26,13.883,12.719,13.883,12.719,73418.0,300332
2015-06-29,12.938,11.445,13.002,11.445,80951.0,300332
2015-06-30,10.3,12.54,12.589,10.3,187974.0,300332
2015-07-01,12.341,12.147,13.724,11.848,121215.0,300332
2015-07-13,13.361,13.361,13.361,12.147,236467.0,300332
2015-07-14,13.356,12.773,14.44,12.44,232688.0,300332
2015-07-15,12.336,11.495,12.341,11.495,85480.0,300332
2015-07-16,10.345,10.494,11.734,10.345,171521.0,300332
2015-07-17,10.778,11.171,11.445,10.45,96553.0,300332
2015-07-20,11.589,12.291,12.291,10.903,135509.0,300332
2015-07-21,12.938,13.52,13.52,12.813,95046.0,300332
2015-07-22,14.132,14.639,14.873,13.928,263699.0,300332
2015-07-23,14.779,15.575,15.918,14.236,169775.0,300332
2015-07-24,15.242,14.386,15.923,14.331,118306.0,300332
2015-07-27,14.082,12.948,14.57,12.948,138747.0,300332
2015-07-28,11.654,12.216,13.629,11.654,156678.0,300332
2015-07-29,12.465,13.177,13.261,11.694,92405.0,300332
2015-07-30,12.938,11.903,13.211,11.893,90631.0,300332
2015-07-31,11.669,11.893,12.689,11.171,87206.0,300332
2015-08-03,11.495,10.723,11.763,10.703,109512.0,300332
2015-08-04,10.853,11.798,11.798,10.803,122625.0,300332
2015-08-05,11.903,11.838,12.331,11.694,78093.0,300332
2015-08-06,11.589,12.042,12.186,11.445,59681.0,300332
2015-08-07,12.082,12.788,13.077,12.082,75537.0,300332
2015-08-10,13.132,13.604,13.833,12.938,73318.0,300332
2015-08-11,13.734,13.381,14.241,13.266,123460.0,300332
2015-08-12,13.271,12.714,13.435,12.689,66272.0,300332
2015-08-13,12.689,13.271,13.281,12.261,68628.0,300332
2015-08-14,13.41,12.943,13.545,12.938,65086.0,300332
2015-08-17,12.948,13.291,13.386,12.684,58513.0,300332
2015-08-18,13.311,11.962,13.475,11.962,69589.0,300332
