,SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
0,000691,亚太实业,0.0305,-0.0226,9714600.0,-,-,4222283.79,-30.87730431,980.3042,0.41842278,6.6,-0.10796065,-,不分配不转增,-,2017-11-25T00:00:00,2010-12-31T00:00:00,2,10001010
1,000565,渝三峡A,0.2,-0.85,436396626.58,11.34399438,7.2177,35281183.09,-82.68346671,341.7118,3.99103408,5.26,-0.16259569,24.01729531,10派1,0.628535512256443,2016-03-29T00:00:00,2010-12-31T00:00:00,2,10000907
2,603056,德邦股份,0.9,-,2596467464.44,162.16500157,-,123001496.35,82.15817894,-,5.02431061,-,1.06980837,22.84610525,,-,2015-07-03T00:00:00,2010-12-31T00:00:00,1,80279273
3,603223,恒通股份,-,-,577452095.16,66.4972425,-,42388970.47,84.14063223,-,12.04482774,48.23,2.66679439,20.06393372,,-,2015-06-10T00:00:00,2010-12-31T00:00:00,1,80312072
4,300167,迪威迅,1.19,0.79,190802030.67,31.99003796,50.0078,27274529.46,-7.4893055,-72.497,4.98,27.06,0.14413095,48.00898469,10转5派2,0.727272727272727,2015-05-22T00:00:00,2010-12-31T00:00:00,3,80054761
5,601108,财通证券,-,-,1741088481.05,3.70033535,-,487248823.98,-17.52960161,-,3.0918497,-,1.18777289,-,,-,2014-12-16T00:00:00,2010-12-31T00:00:00,1,80048595
6,601375,中原证券,0.25,-,1345669695.34,-27.62381276,-,513524365.47,-40.69152454,-,1.99632544,-,-0.29866327,-,,-,2014-12-05T00:00:00,2010-12-31T00:00:00,1,80000218
8,600025,华能水电,-,-,7901906113.41,90.01370373,-27.7185,1760150823.97,211.92525935,-77.7791,4.04085892,-,1.22901825,47.18978415,,-,2014-09-11T00:00:00,2010-12-31T00:00:00,1,80075711
9,601228,广州港,0.08,-,3975033871.71,-,-,422712176.46,-,-,1.04988777,-,0.22478415,42.42256,,-,2014-07-16T00:00:00,2010-12-31T00:00:00,1,80179506
10,600782,新钢股份,0.26,0.13,35212557743.57,61.20027936,11.4442,366076727.87,103.05513563,160.158,6.11656211,4.37,-0.46884701,5.90829859,10派0.6,0.841514726507714,2014-07-11T00:00:00,2010-12-31T00:00:00,1,10000731
11,603026,石大胜华,0.64,-,2847242921.45,-,-,89658997.9,-,-,3.85643366,-,0.14694644,7.27116555,,-,2014-04-28T00:00:00,2010-12-31T00:00:00,1,80198469
12,300086,康芝药业,0.7776,0.7758,314451808.57,43.730289,10.4981,139317546.85,42.77680307,11.8631,18.29,12.06,0.79893973,67.77395784,10转10派3,1.08459869848156,2014-04-15T00:00:00,2010-12-31T00:00:00,3,80143575
17,300498,温氏股份,-,-,21823071492.08,30.5135732,16.9187,1920152777.03,120.97841831,-17.8101,2.35957458,-,0.86260951,15.3999165,,-,2014-01-28T00:00:00,2010-12-31T00:00:00,3,80060671
20,603288,海天味业,1.28,1.25,5515507551.31,23.0346147,-,660266581.85,-6.56718599,-,4.92,29.0,1.47932001,32.98640888,,-,2014-01-15T00:00:00,2010-12-31T00:00:00,1,80064560
21,600909,华安证券,0.23,-,1250787848.28,-19.97416735,-,550844903.54,-31.76895162,-,1.47691851,-,-0.52123533,-,,-,2014-01-13T00:00:00,2010-12-31T00:00:00,1,80000064
22,002926,华西证券,-,-,2253215017.64,-11.55818208,-,1006927027.7,-1.89939427,-,4.17151228,-,-1.31175597,-,,-,2014-01-10T00:00:00,2010-12-31T00:00:00,4,80000048
23,300383,光环新网,0.79,0.75,133645663.91,24.79916509,-,32317971.61,44.74025322,-,3.52,29.38,0.75977147,54.87307878,,-,2014-01-10T00:00:00,2010-12-31T00:00:00,3,80198783
25,002718,友邦吊顶,1.24,1.19,200187868.29,49.44441407,-,55877293.03,107.15020383,-,2.36,72.52,1.30408546,52.5903151,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198732
26,002721,金一文化,0.32,0.43,2232693202.95,129.45512365,-,45455024.92,160.80733819,-,2.48,28.85,-1.37729058,11.65153688,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198918
27,002725,跃岭股份,0.85,0.99,697588587.25,45.98347484,-,51078225.44,19.73139751,-,2.58516471,35.0,0.66820741,19.33398274,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198907
28,300380,安硕信息,0.0,-,106007568.01,66.64916773,-,35356185.25,121.49281569,-,10.91530876,56.04,1.30689148,66.63018984,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80198764
29,603005,晶方科技,0.5,0.47,270679985.18,94.9458585,-,90742369.33,78.25056049,-,2.29,24.23,0.64073163,52.80751727,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,1,80198909
30,002719,麦趣尔,0.59,0.57,313799302.78,3.27483866,-,44044790.54,11.19337602,-,1.75,33.8,0.41809599,38.75328123,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198781
31,002722,金轮股份,0.4,0.41,349745787.97,19.73791345,-,41830992.58,110.66646095,-,2.21,20.12,0.49761183,41.19944471,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198766
32,300379,东方通,0.65,0.31,78481813.94,51.41266287,-,29307557.85,83.91013702,-,2.09,36.89,0.4025927,94.4927019,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80198451
33,002714,牧原股份,0.43,0.35,444517659.15,3.68595547,-,85609479.57,-9.26847516,-,1.92046276,27.27,0.42365554,21.9080258,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198868
34,300381,溢多利,0.723,0.68,216863387.25,20.56603525,-,28184233.47,15.10280378,-,3.7,21.48,0.90628399,52.15877647,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80173987
