SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
300739,明阳电路,-,-,632612056.82,12.43774064,-,59596526.91,31.95041757,-,4.12648878,20.83,1.16339938,28.54808006,,-,2018-01-22T00:00:00,2015-12-31T00:00:00,3,80433218
603516,淳中科技,0.78,1.1,169291293.86,13.18416234,-,48180185.24,8.12272512,-,4.37,49.26,2.00024499,67.32885092,,-,2018-01-22T00:00:00,2015-12-31T00:00:00,1,80456364
002926,华西证券,1.28,1.27,6010918733.46,89.73776194,-,2681090347.0,287.84639839,-,4.96806994,29.55,2.36981698,-,,-,2018-01-16T00:00:00,2015-12-31T00:00:00,4,80000048
000922,*ST佳电,-0.44,-0.86,1505026292.12,-26.65890088,3.8254,-248590134.98,-624.9245635,25.0509,3.44005655,-21.35,-0.06515884,12.6916039,不分配不转增,-,2018-01-11T00:00:00,2015-12-31T00:00:00,8,10001185
600783,鲁信创投,0.3,0.43,190698989.18,-18.7943662,15.3905,224081397.64,-25.71078635,-197.3397,4.66805685,6.67,-0.17235735,26.11523979,10派1,0.445831475702185,2018-01-10T00:00:00,2015-12-31T00:00:00,1,10000732
300737,科顺股份,0.44,0.44,1199558586.25,13.24892474,-,164902584.83,109.90714035,-,1.49,37.41,0.08324259,44.7129503,,-,2018-01-08T00:00:00,2015-12-31T00:00:00,3,80437091
300738,奥飞数据,0.67,2.68,159839231.58,125.89653532,-,26802901.8,570.6337397,-,7.95,105.01,1.23689885,33.20122557,,-,2018-01-08T00:00:00,2015-12-31T00:00:00,3,80422667
603895,天永智能,-,-,294839120.86,23.59057059,-,60474283.87,27.65877527,-,19.50543099,40.13,10.23657732,40.31907203,,-,2018-01-08T00:00:00,2015-12-31T00:00:00,1,80532669
300267,尔康制药,0.29,0.64,1755998915.76,28.14157223,17.6538,604578672.02,109.71296669,25.5601,4.06828208,29.02,0.50464358,51.46891603,10转10派1,0.709219858156028,2018-01-05T00:00:00,2015-12-31T00:00:00,3,80180097
603356,华菱精工,0.51,0.47,595135254.51,3.40193988,-,51185327.99,-7.23652335,-,2.37431512,22.71,0.66604601,27.54460407,,-,2018-01-03T00:00:00,2015-12-31T00:00:00,1,80601204
603506,南都物业,0.5,1.05,470762403.26,20.44226508,-,22112255.43,-29.84352294,-,1.3915386,45.83,4.00409439,29.77468738,,-,2018-01-02T00:00:00,2015-12-31T00:00:00,1,80511093
603056,德邦股份,0.39,0.24,12921493592.81,23.14250965,-,337195423.88,-28.49222415,-,2.49528091,17.06,1.25882633,14.52641457,,-,2017-12-26T00:00:00,2015-12-31T00:00:00,1,80279273
601828,美凯龙,0.96,0.71,9178569366.89,10.15998132,9.2199,3224867375.35,-0.5608131,-107.3059,9.62463294,10.48,0.93496051,75.58032755,,-,2017-12-25T00:00:00,2015-12-31T00:00:00,1,80186156
002923,润都股份,0.95,0.9,-,10.37906156,-,-,19.56577445,-,4.14295307,25.35,0.66851956,66.31701614,,-,2017-12-18T00:00:00,2015-12-31T00:00:00,4,80357726
300664,鹏鹞环保,0.439,0.437,947267900.0,11.63252834,82.0063,201176800.0,-16.46257498,94.481,4.35220784,10.61,0.91210245,54.54296843,,-,2017-12-18T00:00:00,2015-12-31T00:00:00,3,80357577
300624,万兴科技,0.83,0.79,262823768.1,16.27578212,-,49906668.27,5.28172099,-,3.34653573,28.0,1.11033121,97.99139511,,-,2017-12-13T00:00:00,2015-12-31T00:00:00,3,80389366
603080,新疆火炬,1.01,0.98,305719808.32,8.78111872,-,98606499.76,10.70105546,-,3.07,42.01,1.15599529,48.31945646,,-,2017-12-12T00:00:00,2015-12-31T00:00:00,1,80396627
002922,伊戈尔,1.42,0.44,798375986.87,-0.93878961,-,126688121.33,385.55087509,-,4.320207,38.77,0.85595535,26.2063485,,-,2017-12-12T00:00:00,2015-12-31T00:00:00,4,80189534
603329,上海雅仕,0.76,0.72,1588725432.48,9.55716155,-,75683350.98,13.21716862,-,3.52674852,23.5,1.0946741,10.83948123,,-,2017-12-12T00:00:00,2015-12-31T00:00:00,1,80293727
300735,光弘科技,0.4,0.38,917533454.93,24.32887835,-,95174428.04,37.95403547,-,1.55431042,23.39,0.44519889,28.82714217,,-,2017-12-11T00:00:00,2015-12-31T00:00:00,3,80620855
603655,朗博科技,0.53,0.52,142340288.5,6.46589274,-,34141279.22,-2.7631747,-,3.20474674,17.47,0.38927574,53.21419273,,-,2017-12-11T00:00:00,2015-12-31T00:00:00,1,80511089
300051,三五互联,-0.24,-0.25,248964116.75,-11.0524499,49.7294,-79745174.15,-1534.13334852,-28597.4301,2.36678435,-14.16,-0.02615492,67.12095072,不分配不转增,-,2017-12-11T00:00:00,2015-12-31T00:00:00,3,80120948
002920,德赛西威,0.8,0.77,3668248375.96,39.12331226,-,358874470.33,116.80967648,-,1.93447196,49.99,0.55004115,26.96188306,,-,2017-12-05T00:00:00,2015-12-31T00:00:00,4,80340646
000691,亚太实业,0.0359,0.0069,104716075.94,697.60021755,260.1433,11501772.13,126.65966429,1188.73,0.25166229,16.26,-0.10799043,21.53898005,不分配不转增,-,2017-11-25T00:00:00,2015-12-31T00:00:00,2,10001010
600818,中路股份,0.16,-0.1,656366249.08,-0.95756544,-1.2539,51927140.0,721.58596101,208.6518,1.52012535,11.6,0.33008745,17.25000524,10派0.3,0.106194690265487,2017-11-24T00:00:00,2015-12-31T00:00:00,1,10000767
000755,*ST三维,-1.0766,-1.0833,7424845211.52,28.9053881,153.9752,-505223270.25,-962.25679394,6.8233,2.58715369,-33.87,0.02983748,0.04858793,不分配不转增,-,2017-11-21T00:00:00,2015-12-31T00:00:00,8,10001059
300731,科创新源,0.59,0.53,154215421.57,-2.97557072,-,35358265.82,-36.93814867,-,2.50697879,29.98,0.85365629,51.23347736,,-,2017-11-20T00:00:00,2015-12-31T00:00:00,3,80369654
300727,润禾材料,0.49,0.39,268595312.25,0.26163129,-,33497895.36,7.57586548,-,2.6163525,19.45,0.16655994,39.30577186,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,3,80605380
603685,晨丰科技,1.0,1.05,462002265.9,52.77254035,-,58719336.29,116.57604765,-,3.31028681,31.74,0.69025739,29.31032436,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,1,80560673
002915,中欣氟材,0.56,0.59,377937007.07,-3.97195834,-,36546604.17,30.06729219,-,2.89192999,19.77,0.34311286,29.89582893,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,4,80542764
300730,科创信息,0.49,0.47,249460801.24,32.0543877,-,34339305.54,145.01784324,-,2.12591205,24.76,1.12343157,43.92958757,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,3,80398455
603917,合力科技,0.8789,0.81,384556211.95,16.67248906,-,73825648.69,24.34889164,-,3.98692767,24.4,0.68312675,38.8578869,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,1,80329910
603283,赛腾股份,1.06,1.04,488947704.06,28.44461511,-,127046462.07,-4.38287533,-,2.10387786,60.09,0.545913,54.23858796,,-,2017-11-14T00:00:00,2015-12-31T00:00:00,1,80507567
603848,好太太,-,-,678701925.68,14.21838416,-,133361055.45,19.29792671,-,14.33846069,34.01,5.13193254,39.81563715,,-,2017-11-13T00:00:00,2015-12-31T00:00:00,1,80545458
002913,奥士康,1.62,1.49,1055452919.18,17.66964104,-,161756901.51,22.86113621,-,5.68642357,30.66,2.30059402,30.26823407,,-,2017-11-13T00:00:00,2015-12-31T00:00:00,4,80542763
603711,香飘飘,0.57,0.5,1951740122.14,-6.74784488,-,203947571.09,10.08060676,-,2.77151158,22.77,0.31085617,42.86955511,,-,2017-11-13T00:00:00,2015-12-31T00:00:00,1,80463406
300729,乐歌股份,0.85,0.67,376562756.43,5.2582183,-,50858265.03,87.04774018,-,4.10895165,22.82,1.21456048,43.57613088,,-,2017-11-13T00:00:00,2015-12-31T00:00:00,3,80601206
603661,恒林股份,2.53,2.39,1530166999.22,9.45523638,-,189745395.35,55.78408678,-,5.11806006,43.22,3.12169836,28.62314601,,-,2017-11-08T00:00:00,2015-12-31T00:00:00,1,80198761
300736,百华悦邦,0.99,1.0,621158667.9,56.21695504,-,40076727.97,39.27860643,-,4.22,25.41,2.08398649,37.12583146,,-,2017-11-08T00:00:00,2015-12-31T00:00:00,3,80373652
002911,佛燃股份,0.74,0.65,4093804423.34,5.7997643,-,369175924.51,20.88624305,-,3.07697205,26.24,1.40842237,20.0286062,,-,2017-11-08T00:00:00,2015-12-31T00:00:00,4,80179109
002925,盈趣科技,0.43,0.55,980448440.2,52.96835352,-,164787695.78,39.68146083,-,5.37585217,50.88,2.23041328,33.29112176,,-,2017-11-07T00:00:00,2015-12-31T00:00:00,4,80310173
600025,华能水电,0.14,0.14,12960844357.3,-16.9625706,-61.6777,2287311110.81,-49.76942143,-198.6934,2.03846556,7.53,0.71740045,49.05319027,,-,2017-11-06T00:00:00,2015-12-31T00:00:00,1,80075711
603890,春秋电子,0.96,1.09,1275147025.77,5.99775487,-,87093675.87,53.62565192,-,1.86105187,49.41,1.03804421,19.38466746,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,1,80631822
603161,科华控股,0.87,0.85,616582906.69,22.01716608,-,81022491.52,35.7264088,-,5.06,21.58,0.16543841,31.54996923,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,1,80381026
300726,宏达电子,0.23,0.58,394561727.32,19.79575514,-,74956137.87,-47.05253233,-,1.56556756,18.5,0.01272976,76.39000284,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,3,80548929
603365,水星家纺,0.8,0.81,1851188536.08,4.25823764,-,134781588.43,16.90399685,-,3.76319824,20.36,1.1989973,33.32857885,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,1,80305672
300684,中石科技,0.5172,0.4731,178146439.56,-21.0084093,-,33693426.47,-38.99459849,-,4.61784159,11.37,0.23292883,53.92604176,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,3,80077134
300723,一品红,0.5,0.7,1028297463.73,29.74465301,-,60420200.01,49.88849959,-,1.63231493,41.85,0.28791254,53.44072444,,-,2017-10-30T00:00:00,2015-12-31T00:00:00,3,80507573
